n_rows,n_cols,with_walls,seed,corridor_rows,k_neighbors,n_zones,nodes_A,edges_A,nodes_B,edges_B,M1_A,M1_B,M2,M3,M4_A,M4_B
2,2,False,1,3,2,4,11,12,13,17,1.0,1.0,1.0,0.7533,undefined,undefined
2,2,False,1,3,3,4,11,12,13,21,1.0,1.0,1.0,0.7127,undefined,undefined
2,2,False,1,3,4,4,11,12,13,21,1.0,1.0,1.0,0.7127,undefined,undefined
2,2,False,2,3,2,4,11,12,13,17,1.0,1.0,1.0,0.7533,undefined,undefined
2,2,False,2,3,3,4,11,12,13,21,1.0,1.0,1.0,0.7127,undefined,undefined
2,2,False,2,3,4,4,11,12,13,21,1.0,1.0,1.0,0.7127,undefined,undefined
2,2,False,3,3,2,4,11,12,13,17,1.0,1.0,1.0,0.7533,undefined,undefined
2,2,False,3,3,3,4,11,12,13,21,1.0,1.0,1.0,0.7127,undefined,undefined
2,2,False,3,3,4,4,11,12,13,21,1.0,1.0,1.0,0.7127,undefined,undefined
2,2,True,1,3,2,4,11,8,13,9,0.0,0.25,0.75,undefined,0.5,0.8889
2,2,True,1,3,3,4,11,8,13,9,0.0,0.25,0.75,undefined,0.5,0.8889
2,2,True,1,3,4,4,11,8,13,9,0.0,0.25,0.75,undefined,0.5,0.8889
2,2,True,2,3,2,4,11,8,13,9,0.0,0.25,0.75,undefined,0.5,0.8889
2,2,True,2,3,3,4,11,8,13,9,0.0,0.25,0.75,undefined,0.5,0.8889
2,2,True,2,3,4,4,11,8,13,9,0.0,0.25,0.75,undefined,0.5,0.8889
2,2,True,3,3,2,4,11,8,13,9,0.0,0.25,0.75,undefined,0.5,0.8889
2,2,True,3,3,3,4,11,8,13,9,0.0,0.25,0.75,undefined,0.5,0.8889
2,2,True,3,3,4,4,11,8,13,9,0.0,0.25,0.75,undefined,0.5,0.8889
2,4,False,1,3,2,8,21,26,25,33,1.0,1.0,1.0,0.7944,undefined,undefined
2,4,False,1,3,3,8,21,26,25,41,1.0,1.0,1.0,0.7582,undefined,undefined
2,4,False,1,3,4,8,21,26,25,49,1.0,1.0,1.0,0.7379,undefined,undefined
2,4,False,2,3,2,8,21,26,25,33,1.0,1.0,1.0,0.7944,undefined,undefined
2,4,False,2,3,3,8,21,26,25,41,1.0,1.0,1.0,0.7582,undefined,undefined
2,4,False,2,3,4,8,21,26,25,49,1.0,1.0,1.0,0.7379,undefined,undefined
2,4,False,3,3,2,8,21,26,25,33,1.0,1.0,1.0,0.7944,undefined,undefined
2,4,False,3,3,3,8,21,26,25,41,1.0,1.0,1.0,0.7582,undefined,undefined
2,4,False,3,3,4,8,21,26,25,49,1.0,1.0,1.0,0.7379,undefined,undefined
2,4,True,1,3,2,8,21,18,25,17,0.0,0.125,0.875,undefined,0.5556,0.9412
2,4,True,1,3,3,8,21,18,25,17,0.0,0.125,0.875,undefined,0.5556,0.9412
2,4,True,1,3,4,8,21,18,25,17,0.0,0.125,0.875,undefined,0.5556,0.9412
2,4,True,2,3,2,8,21,18,25,17,0.0,0.125,0.875,undefined,0.5556,0.9412
2,4,True,2,3,3,8,21,18,25,17,0.0,0.125,0.875,undefined,0.5556,0.9412
2,4,True,2,3,4,8,21,18,25,17,0.0,0.125,0.875,undefined,0.5556,0.9412
2,4,True,3,3,2,8,21,18,25,17,0.0,0.125,0.875,undefined,0.5556,0.9412
2,4,True,3,3,3,8,21,18,25,17,0.0,0.125,0.875,undefined,0.5556,0.9412
2,4,True,3,3,4,8,21,18,25,17,0.0,0.125,0.875,undefined,0.5556,0.9412
2,6,False,1,3,2,12,31,40,37,49,1.0,1.0,1.0,0.8208,undefined,undefined
